reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Example 1_Step 3,Example 1,Step 3,oxidation,haloform reaction,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.C1CCOC1.[Na+].[O-]Cl.O.Cl.CCO>>Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,7/7,2-chloro-3-acetyl-6-(methylsulfonyl)toluene; tetrahydrofuran; sodium hypochlorite; water; hydrochloric acid; ethanol,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; C1CCOC1; [Na+].[O-]Cl; O; Cl; CCO,2-chloro-3-methyl-4-(methylsulfonyl)benzoic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,name_parsed; patent_drawing
Example 1_Step 4,Example 1,Step 4,ester_formation,Fischer esterification,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.Cc1ccc(S(=O)(=O)O)cc1.CO.CCO>>COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,5/5,2-chloro-3-methyl-4-(methylsulfonyl)benzoic acid; p-toluenesulfonic acid; methanol; ethanol,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; Cc1ccc(S(=O)(=O)O)cc1; CO; CCO,methyl 2-chloro-3-methyl-4-(methylsulfonyl)benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,name_parsed; patent_drawing
Example 1_Step 5,Example 1,Step 5,halogenation,Wohl-Ziegler bromination,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.ClC(Cl)(Cl)Cl.O=C(OO)c1ccccc1.BrBr.O=C([O-])O.[Na+].O.CCOC(C)=O>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,8/8,methyl 2-chloro-3-methyl-4-(methylsulfonyl)benzoate; carbon tetrachloride; peroxybenzoic acid; bromine; sodium bicarbonate; water; ethyl acetate,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; ClC(Cl)(Cl)Cl; O=C(OO)c1ccccc1; BrBr; O=C([O-])O.[Na+]; O; CCOC(C)=O,methyl 2-chloro-3-(bromomethyl)-4-(methylsulfonyl)benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,curated; name_parsed; patent_drawing
Example 1_Step 6,Example 1,Step 6,hydrolysis,Williamson ether synthesis,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[O-]CC(F)(F)F.C1CCOC1.CCOC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl.[Na+].[OH-].O.Cl.ClCCl.O=S(=O)([O-])[O-].[Mg+2]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,10/10,"methyl 2-chloro-3-(bromomethyl)-4-(methylsulfonyl)benzoate; sodium 2,2,2-trifluoroethoxide; tetrahydrofuran; ethyl 2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methylsulfonyl)benzoate; sodium hydroxide; water; hydrochloric acid; dichloromethane; magnesium sulfate",COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F; C1CCOC1; CCOC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl; [Na+].[OH-]; O; Cl; ClCCl; O=S(=O)([O-])[O-].[Mg+2],"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methylsulfonyl)benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,curated; name_parsed; patent_drawing
Example 1_Step 7,Example 1,Step 7,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.CN(C)C=O.ClCCl.O=S(Cl)Cl.O=C1CCCC(=O)C1.CCN(CC)CC.O.O=S(=O)([O-])[O-].[Mg+2]>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,9/9,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methylsulfonyl)benzoic acid; N,N-dimethylformamide; dichloromethane; thionyl chloride; cyclohexane-1,3-dione; triethylamine; water; magnesium sulfate",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; CN(C)C=O; ClCCl; O=S(Cl)Cl; O=C1CCCC(=O)C1; CCN(CC)CC; O; O=S(=O)([O-])[O-].[Mg+2],"3-oxo-1-cyclohexen-1-yl 2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methylsulfonyl)benzoate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,curated; name_parsed; patent_drawing
Example 1_Step 8,Example 1,Step 8,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(=O)CC#N.CCN(CC)CC.CC#N.O.Cl.CCOC(C)=O.O=S(=O)([O-])[O-].[Mg+2]>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,9/9,"3-oxo-1-cyclohexen-1-yl 2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methylsulfonyl)benzoate; cyanoacetone; triethylamine; acetonitrile; water; hydrochloric acid; ethyl acetate; magnesium sulfate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(=O)CC#N; CCN(CC)CC; CC#N; O; Cl; CCOC(C)=O; O=S(=O)([O-])[O-].[Mg+2],tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,curated; name_parsed; patent_drawing
Summary of the Invention_Step 1,Summary of the Invention,Step 1,electrophilic_substitution,Friedel-Crafts sulfonylation,Cc1ccccc1Cl.[Cl][Al]([Cl])[Cl].CS(=O)(=O)Cl>>Cc1c(Cl)cccc1S(C)(=O)=O,4/4,2-chlorotoluene; anhydrous aluminium trichloride; methanesulfonyl chloride,Cc1ccccc1Cl; [Cl][Al]([Cl])[Cl]; CS(=O)(=O)Cl,2-chloro-6-methylsulfonyltoluene,Cc1c(Cl)cccc1S(C)(=O)=O,curated; derived
Summary of the Invention_Step 2,Summary of the Invention,Step 2,acylation,Friedel-Crafts acylation,Cc1c(Cl)cccc1S(C)(=O)=O.[Cl][Al]([Cl])[Cl].CC(=O)Cl>>CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,4/4,2-chloro-6-methylsulfonyltoluene; anhydrous aluminium trichloride; acetyl chloride,Cc1c(Cl)cccc1S(C)(=O)=O; [Cl][Al]([Cl])[Cl]; CC(=O)Cl,2-chloro-3-acetyl-6-methylsulfonyltoluene,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,curated; derived; patent_drawing
Summary of the Invention_Step 3,Summary of the Invention,Step 3,oxidation,haloform reaction,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.[Na+].[O-]Cl>>Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,3/3,2-chloro-3-acetyl-6-methylsulfonyltoluene; sodium hypochlorite,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; [Na+].[O-]Cl,2-chloro-3-methyl-4-methylsulfonylbenzoic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,name_parsed; patent_drawing
Summary of the Invention_Step 4,Summary of the Invention,Step 4,ester_formation,Fischer esterification,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.CO.O=S(=O)(O)O.Cc1ccc(S(=O)(=O)O)cc1>>COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,5/5,2-chloro-3-methyl-4-methylsulfonylbenzoic acid; methanol; concentrated sulfuric acid; p-toluenesulfonic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; CO; O=S(=O)(O)O; Cc1ccc(S(=O)(=O)O)cc1,methyl 2-chloro-3-methyl-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,name_parsed; patent_drawing
Summary of the Invention_Step 5,Summary of the Invention,Step 5,halogenation,,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.O=C(OO)c1ccccc1.BrBr>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,4/4,methyl 2-chloro-3-methyl-4-methylsulfonylbenzoate; peroxybenzoic acid; bromine,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; O=C(OO)c1ccccc1; BrBr,methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,curated; name_parsed; patent_drawing
Summary of the Invention_Step 6,Summary of the Invention,Step 6,hydrolysis,,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[O-]CC(F)(F)F.CCOC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl.[Na+].[OH-]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,5/5,"methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate; sodium 2,2,2-trifluoroethoxide; ethyl 2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoate; sodium hydroxide",COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F; CCOC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl; [Na+].[OH-],"2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,curated; derived; patent_drawing
Summary of the Invention_Step 7,Summary of the Invention,Step 7,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.CN(C)C=O.O=S(Cl)Cl.ClCCl.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,6/6,"2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid; N,N-dimethylformamide; thionyl chloride; dichloromethane; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; CN(C)C=O; O=S(Cl)Cl; ClCCl; O=C1CCCC(=O)C1,"3-oxo-1-cyclohexen-1-yl 2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,curated; name_parsed; patent_drawing
Summary of the Invention_Step 8,Summary of the Invention,Step 8,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(=O)CC#N.CCN(CC)CC>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,4/4,"3-oxo-1-cyclohexen-1-yl 2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoate; cyanoacetone; triethylamine",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(=O)CC#N; CCN(CC)CC,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,curated; patent_drawing
Summary of the Invention_Scheme Step 1,Summary of the Invention,Scheme Step 1,nucleophilic_substitution,,Cc1c(Cl)cccc1Cl.C[S-].[Na+]>>CSc1cccc(Cl)c1C,3/3,Cc1c(Cl)cccc1Cl; sodium methanethiolate,Cc1c(Cl)cccc1Cl; C[S-].[Na+],CSc1cccc(Cl)c1C,CSc1cccc(Cl)c1C,name_parsed; patent_scheme
Summary of the Invention_Scheme Step 2,Summary of the Invention,Scheme Step 2,acylation,Friedel-Crafts acylation,CSc1cccc(Cl)c1C.CC(=O)Cl.[Cl][Al]([Cl])[Cl]>>CSc1ccc(C(C)=O)c(Cl)c1C,4/4,CSc1cccc(Cl)c1C; acetyl chloride; anhydrous aluminium trichloride,CSc1cccc(Cl)c1C; CC(=O)Cl; [Cl][Al]([Cl])[Cl],CSc1ccc(C(C)=O)c(Cl)c1C,CSc1ccc(C(C)=O)c(Cl)c1C,curated; patent_scheme
Summary of the Invention_Scheme Step 3,Summary of the Invention,Scheme Step 3,oxidation,,CSc1ccc(C(C)=O)c(Cl)c1C>>CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,2/2,CSc1ccc(C(C)=O)c(Cl)c1C,CSc1ccc(C(C)=O)c(Cl)c1C,2-chloro-3-acetyl-6-methylsulfonyltoluene,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,patent_drawing; patent_scheme
Summary of the Invention_Scheme Step 4,Summary of the Invention,Scheme Step 4,oxidation,haloform reaction,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.[Na+].[O-]Cl>>Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,3/3,2-chloro-3-acetyl-6-methylsulfonyltoluene; sodium hypochlorite,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; [Na+].[O-]Cl,2-chloro-3-methyl-4-methylsulfonylbenzoic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,name_parsed; patent_drawing
Summary of the Invention_Scheme Step 5,Summary of the Invention,Scheme Step 5,ester_formation,Fischer esterification,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.CO>>COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,3/3,2-chloro-3-methyl-4-methylsulfonylbenzoic acid; methanol,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; CO,methyl 2-chloro-3-methyl-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,name_parsed; patent_drawing
Summary of the Invention_Scheme Step 6,Summary of the Invention,Scheme Step 6,halogenation,,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.BrBr>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,3/3,methyl 2-chloro-3-methyl-4-methylsulfonylbenzoate; bromine,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; BrBr,methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,curated; patent_drawing
Summary of the Invention_Scheme Step 7,Summary of the Invention,Scheme Step 7,hydrolysis,,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[O-]CC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,3/3,"methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate; sodium 2,2,2-trifluoroethoxide",COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F,"2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,curated; patent_drawing
Summary of the Invention_Scheme Step 8,Summary of the Invention,Scheme Step 8,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,2/2,"2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,"3-oxo-1-cyclohexen-1-yl 2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,patent_drawing
Summary of the Invention_Scheme Step 9,Summary of the Invention,Scheme Step 9,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(C)(O)C#N.CCN(CC)CC>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,4/4,"3-oxo-1-cyclohexen-1-yl 2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoate; acetone cyanohydrin; triethylamine",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(C)(O)C#N; CCN(CC)CC,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,curated; patent_drawing
