reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Claims_Step 3,Claims,Step 3,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1.[C-]#N.[Na+]>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,3/3,enol ester of formula (II); sodium cyanide,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1; [C-]#N.[Na+],mesotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Detailed Description of the Invention_Step 1,Detailed Description of the Invention,Step 1,oxidation,,,11/12,2-nitro-4-methylsulfonyl toluene; alkali metal hypochlorite; hydrogen peroxide; sodium hypochlorite; ruthenium oxide; ruthenium dioxide hydrate; ruthenium trichloride; ruthenate; perruthenate; ruthenium tetroxide; chlorine,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; [O-]Cl; OO; [Na+].[O-]Cl; [O]=[Ru]; O.[O]=[Ru]=[O]; [Cl][Ru]([Cl])[Cl]; ; [O]=[Ru](=[O])(=[O])[O-]; [O]=[Ru](=[O])(=[O])=[O]; [Cl],2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; none; patent_drawing
Detailed Description of the Invention_Step 2,Detailed Description of the Invention,Step 2,ester_formation,,,5/9,"2-nitro-4-methylsulphonyl benzoic acid; 1,3-cyclohexanedione; N,N’-dicyclohexylcarbodiimide; dichloromethane; dichloroethane; dichloropropanes; dichlorobutanes; dichloropentanes",CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1; O=C1CCCC(=O)C1; C(=NC1CCCCC1)=NC1CCCCC1; ClCCl; ; ; ; ,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,name_parsed; none; patent_drawing
Detailed Description of the Invention_Step 3,Detailed Description of the Invention,Step 3,acylation,,,11/15,"enol ester of formula (II); sodium cyanide; triethylamine; N,N-diisopropylethylamine; N,N-diisopropylamine; ethanolamine; diethanolamine; triethanolamine; N-methylglucamine; dichloromethane; dichloroethane; dichloropropanes; dichlorobutanes; dichloropentanes",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1; [C-]#N.[Na+]; CCN(CC)CC; CCN(C(C)C)C(C)C; CC(C)NC(C)C; NCCO; OCCNCCO; OCCN(CCO)CCO; CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO; ClCCl; ; ; ; ,mesotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,name_parsed; none; patent_drawing
Example 1_Step 1,Example 1,Step 1,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-].[Na+].[O-]Cl.[O]=[Ru].Cl>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,5/5,2-nitro-4-methylsulfonyl toluene; sodium hypochlorite; ruthenium oxide; concentrated hydrochloric acid,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; [Na+].[O-]Cl; [O]=[Ru]; Cl,2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Example 2_Step 1,Example 2,Step 1,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-].[Na+].[O-]Cl.[O]=[Ru].Cl>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,5/5,2-nitro-4-methylsulfonyl toluene; sodium hypochlorite; ruthenium oxide; concentrated hydrochloric acid,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; [Na+].[O-]Cl; [O]=[Ru]; Cl,2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Example 3_Step 1,Example 3,Step 1,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-].[Na+].[O-]Cl.[O]=[Ru].Cl>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,5/5,2-nitro-4-methylsulfonyl toluene; sodium hypochlorite; ruthenium oxide; concentrated hydrochloric acid,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; [Na+].[O-]Cl; [O]=[Ru]; Cl,2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Example 4_Step 1,Example 4,Step 1,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C1CCCC(=O)C1.C(=NC1CCCCC1)=NC1CCCCC1.ClCCl.O>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,6/6,"2-nitro-4-methylsulphonyl benzoic acid; 1,3-cyclohexanedione; N,N’-dicyclohexylcarbodiimide; dichloromethane; water",CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1; O=C1CCCC(=O)C1; C(=NC1CCCCC1)=NC1CCCCC1; ClCCl; O,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Example 5_Step 1,Example 5,Step 1,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C1CCCC(=O)C1.C(=NC1CCCCC1)=NC1CCCCC1.ClCCl.O>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,6/6,"2-nitro-4-methylsulphonyl benzoic acid; 1,3-cyclohexanedione; N,N’-dicyclohexylcarbodiimide; dichloromethane; water",CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1; O=C1CCCC(=O)C1; C(=NC1CCCCC1)=NC1CCCCC1; ClCCl; O,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Example 6_Step 1,Example 6,Step 1,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C1CCCC(=O)C1.C(=NC1CCCCC1)=NC1CCCCC1.ClCCl.O>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,6/6,"2-nitro-4-methylsulphonyl benzoic acid; 1,3-cyclohexanedione; N,N’-dicyclohexylcarbodiimide; dichloromethane; water",CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1; O=C1CCCC(=O)C1; C(=NC1CCCCC1)=NC1CCCCC1; ClCCl; O,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Example 7_Step 1,Example 7,Step 1,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1.ClCCl.[C-]#N.[Na+].CCN(CC)CC.O.Cl>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,7/7,enol ester of formula (II); dichloromethane; sodium cyanide; triethylamine; water; aqueous hydrochloric acid,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1; ClCCl; [C-]#N.[Na+]; CCN(CC)CC; O; Cl,mesotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Summary of the Invention_Step 1,Summary of the Invention,Step 1,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-].[O]=[Ru]>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,3/3,2-nitro-4-methylsulfonyl toluene; ruthenium oxide,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; [O]=[Ru],2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Summary of the Invention_Step 2,Summary of the Invention,Step 2,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,3/3,"2-nitro-4-methylsulphonyl benzoic acid; 1,3-cyclohexanedione",CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1; O=C1CCCC(=O)C1,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,patent_drawing
Summary of the Invention_Step 3,Summary of the Invention,Step 3,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,2/2,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,mesotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,patent_drawing
