reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Example 2_Step 2,Example 2,Step 2,ester_formation,,,9/10,"2-chloro-4-methylsulfonyl-3-phenoxymethyl-benzoic acid; dichloromethane; N,N-dimethylformamide; oxalyl chloride; cyclohexane-1,3-dione; triethylamine; silica gel; ethyl acetate; hexane",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COc1ccccc1; ClCCl; CN(C)C=O; O=C(Cl)C(=O)Cl; O=C1CCCC(=O)C1; CCN(CC)CC; ; CCOC(C)=O; CCCCCC,3-oxo-1-cyclohexenyl 2-chloro-4-methylsulfonyl-3-phenoxymethyl-benzoic acid,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COc1ccccc1,curated; name_parsed; none
Example 2_Step 3,Example 2,Step 3,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COc1ccccc1.CC(C)(O)C#N.CCN(CC)CC.CC#N.O.Cl.CCOC(C)=O.O=S(=O)([O-])[O-].[Mg+2]>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COc1ccccc1,9/9,3-oxo-1-cyclohexenyl 2-chloro-4-methylsulfonyl-3-phenoxymethyl-benzoic acid; acetone cyanohydrin; triethylamine; acetonitrile; water; hydrochloric acid; ethyl acetate; magnesium sulfate,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COc1ccccc1; CC(C)(O)C#N; CCN(CC)CC; CC#N; O; Cl; CCOC(C)=O; O=S(=O)([O-])[O-].[Mg+2],"2-(2-chloro-4-methylsulfonyl-3-phenoxymethyl-benzoyl)-cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COc1ccccc1,curated; name_parsed
Preparation Schemes 1 to 4_Step 1,Preparation Schemes 1 to 4,Step 1,acylation,,,1/5,compound of formula (II); compound of formula (III); DCC; cyanide source,; ; C(=NC1CCCCC1)=NC1CCCCC1; ,compound of formula (I),,name_parsed; none
Preparation Schemes 1 to 4_Step 2,Preparation Schemes 1 to 4,Step 2,other,,,0/2,compound of formula (III),,compound of formula (III),,none
Preparation Schemes 1 to 4_Step 3,Preparation Schemes 1 to 4,Step 3,nucleophilic_substitution,,,0/2,compound of formula (IV),,compound of formula (III),,none
Preparation Schemes 1 to 4_Step 4,Preparation Schemes 1 to 4,Step 4,nucleophilic_substitution,,,0/9,compound of formula (IV); R1-H; alcohols; thio alcohols; amides; amines; heteroaromatics; heterocycles,; ; ; ; ; ; ; ,compound of formula (III),,none
Preparation Schemes 1 to 4_Step 5,Preparation Schemes 1 to 4,Step 5,nucleophilic_substitution,,,0/3,compound of formula (IV); R1-Li,; ,compound of formula (III),,none
Preparation Schemes 1 to 4_Step 6,Preparation Schemes 1 to 4,Step 6,nucleophilic_substitution,,,0/3,compound of formula (V); R1-Z2,; ,compound of formula (III),,none
Preparation Schemes 1 to 4_Step 7,Preparation Schemes 1 to 4,Step 7,halogenation,,,2/4,compound of formula (Ia); oxalyl chloride; oxalyl bromide,; O=C(Cl)C(=O)Cl; O=C(Br)C(=O)Br,compound of formula (Ib),,name_parsed; none
Preparation Schemes 1 to 4_Step 8,Preparation Schemes 1 to 4,Step 8,nucleophilic_substitution,,,0/7,compound of formula (Ib); alkali metal cyanides; alkali metal cyanates; alkali metal thiocyanates; alkylthio alcohols; thiophenols,; ; ; ; ; ,compound of formula (Ic),,none
Preparation Schemes 1 to 4_Step 9,Preparation Schemes 1 to 4,Step 9,oxidation,,,4/6,compound of formula (Ic); peroxyacetic acid; hydrogen peroxide; m-chloroperoxybenzoic acid; potassium peroxymonosulfate,; CC(=O)OO; OO; O=C(OO)c1cccc(Cl)c1; O=S(=O)([O-])O[O-].[K+].[K+],compound of formula (Ic),,name_parsed; none
