reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Example 1_Batch 3,Example 1,Batch 3,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 1_Batch 4,Example 1,Batch 4,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 1_Batch 5,Example 1,Batch 5,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 1_Batch 6,Example 1,Batch 6,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 2_Batch 7,Example 2,Batch 7,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 2_Batch 8,Example 2,Batch 8,recrystallisation,,,6/7,tembotrione; ethanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 2_Batch 9,Example 2,Batch 9,recrystallisation,,,6/7,tembotrione; acetonitrile; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CC#N; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 2_Batch 10,Example 2,Batch 10,recrystallisation,,,6/7,"tembotrione; N,N-dimethylformamide; water; activated carbon; hydrochloric acid; cyanide",CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CN(C)C=O; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 3_Batch 11,Example 3,Batch 11,recrystallisation,,,7/8,tembotrione; methanol; water; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 3_Batch 12,Example 3,Batch 12,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 3_Batch 13,Example 3,Batch 13,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 4_Batch 14,Example 4,Batch 14,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 4_Batch 15,Example 4,Batch 15,recrystallisation,,,6/7,tembotrione; ethanol; water; diatomaceous earth; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 5_Batch 16,Example 5,Batch 16,recrystallisation,,,6/7,tembotrione; ethanol; water; diatomaceous earth; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 5_Batch 17,Example 5,Batch 17,recrystallisation,,,6/7,tembotrione; ethanol; water; diatomaceous earth; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 5_Batch 18,Example 5,Batch 18,recrystallisation,,,6/7,tembotrione; ethanol; water; diatomaceous earth; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 5_Batch 19,Example 5,Batch 19,recrystallisation,,,6/7,tembotrione; ethanol; water; diatomaceous earth; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 6_Step 1,Example 6,Step 1,nucleophilic_substitution,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=S(Cl)Cl.ClCCCl>>CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,4/4,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoyl chloride; thionyl chloride; 1,2-dichloroethane",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=S(Cl)Cl; ClCCCl,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoyl chloride",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,name_parsed
Example 6_Step 2,Example 6,Step 2,acylation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.ClCCCl.CCN(CC)CC.O=C1CCCC(=O)C1.CC(C)(O)C#N.CCN(CC)CC>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,7/7,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoyl chloride; 1,2-dichloroethane; triethylamine; cyclohexane-1,3-dione; acetone cyanohydrin; triethylamine salt",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; ClCCCl; CCN(CC)CC; O=C1CCCC(=O)C1; CC(C)(O)C#N; CCN(CC)CC,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 6_Step 3,Example 6,Step 3,recrystallisation,,,5/6,tembotrione; methanol; water; activated carbon; hydrochloric acid,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Summary of the Invention_Step 1,Summary of the Invention,Step 1,other,,,6/6,"tembotrione; acetonitrile; methanol; ethanol; N,N-dimethylformamide; water",CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CC#N; CO; CCO; CN(C)C=O; O,,,name_parsed; patent_drawing
Summary of the Invention_Step 2,Summary of the Invention,Step 2,other,,,1/4,tembotrione; adsorbent; activated carbon; diatomaceous earth,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; ; ; ,,,none; patent_drawing
Summary of the Invention_Step 3,Summary of the Invention,Step 3,recrystallisation,,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.Cl.O>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,4/4,tembotrione; hydrochloric acid; water,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; Cl; O,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Summary of the Invention_Step 4,Summary of the Invention,Step 4,other,,,2/3,tembotrione; organic solvent; water,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; ; O,,,name_parsed; none; patent_drawing
Synthesis Scheme_Step 1,Synthesis Scheme,Step 1,nucleophilic_substitution,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=S(Cl)Cl.ClCCCl>>CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,4/4,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoyl chloride; thionyl chloride; 1,2-dichloroethane",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=S(Cl)Cl; ClCCCl,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoyl chloride",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,name_parsed
Synthesis Scheme_Step 2,Synthesis Scheme,Step 2,acylation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.ClCCCl.CCN(CC)CC.O=C1CCCC(=O)C1.CC(C)(O)C#N.CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CCN(CC)CC>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,8/8,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoyl chloride; 1,2-dichloroethane; triethylamine; cyclohexane-1,3-dione; acetone cyanohydrin; enol ester; triethylamine salt",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; ClCCCl; CCN(CC)CC; O=C1CCCC(=O)C1; CC(C)(O)C#N; CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CCN(CC)CC,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Synthesis Scheme_Scheme Step 1,Synthesis Scheme,Scheme Step 1,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.O=S(Cl)Cl.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,4/4,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid; thionyl chloride; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=S(Cl)Cl; O=C1CCCC(=O)C1,enol ester,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Synthesis Scheme_Scheme Step 2,Synthesis Scheme,Scheme Step 2,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(C)(O)C#N>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,3/3,enol ester; acetone cyanohydrin,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(C)(O)C#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
